Unix Time,DateTime,Feeder,Liters Consumed
1556031243,2019/4/23 14:54:3,A

time,sensor
1556031256,1
1556031256,-1
1556031258,1
1556031259,-1
1556031260,1
1556031261,-1
1556031262,3
1556031262,4
1556031290,-3
1556031291,1
1556031291,-1
1556031294,-4
1556031295,6
1556031299,3
1556031299,4
1556031302,1
1556031302,2
1556031302,-3
1556031303,3
1556031311,-1
1556031311,-2
1556031311,-3
1556031311,-4
1556031311,1
1556031312,-1
1556031316,3
1556031316,4
1556031318,-6
1556031318,-3
