Unix Time,DateTime,Feeder,Liters Consumed
1556030989,2019/4/23 14:49:49,A

time,sensor
1556031020,1
1556031021,-0
1556031033,1
1556031034,-0
1556031038,1
1556031046,-0
1556031051,1
1556031055,1
1556031060,-0
